ID,Year,Gender,Occupation,WeeklyEarnings
1,2000,1,0,895
2,2001,1,0,882
3,2002,1,0,884
4,2003,1,0,973
5,2004,1,0,1006
6,2005,1,0,1014
7,2006,1,0,1034
8,2007,1,0,1074
9,2008,1,0,1003
10,2009,1,0,1182
11,2010,1,0,1177
12,2011,1,0,1238
13,2012,1,0,1148
14,2013,1,0,1162
15,2014,1,0,1253
16,2015,1,0,1302
17,2016,1,0,1312
18,2017,1,0,1363
19,2018,1,0,1445
20,2019,1,0,1463
21,2020,1,0,1529
22,2000,2,0,961
23,2001,2,0,998
24,2002,2,0,1045
25,2003,2,0,1115
26,2004,2,0,1151
27,2005,2,0,1129
28,2006,2,0,1229
29,2007,2,0,1268
30,2008,2,0,1261
31,2009,2,0,1267
32,2010,2,0,1243
33,2011,2,0,1330
34,2012,2,0,1363
35,2013,2,0,1428
36,2014,2,0,1447
37,2015,2,0,1501
38,2016,2,0,1466
39,2017,2,0,1539
40,2018,2,0,1662
41,2019,2,0,1613
42,2020,2,0,1673
43,2000,1,1,822
44,2001,1,1,880
45,2002,1,1,972
46,2003,1,1,869
47,2004,1,1,902
48,2005,1,1,983
49,2006,1,1,1039
50,2007,1,1,1041
51,2008,1,1,1082
52,2009,1,1,1167
53,2010,1,1,1013
54,2011,1,1,1144
55,2012,1,1,1254
56,2013,1,1,1216
57,2014,1,1,1259
58,2015,1,1,1256
59,2016,1,1,1328
60,2017,1,1,1270
61,2018,1,1,1246
62,2019,1,1,1289
63,2020,1,1,1413
64,2000,2,1,922
65,2001,2,1,1023
66,2002,2,1,1089
67,2003,2,1,1073
68,2004,2,1,1092
69,2005,2,1,1140
70,2006,2,1,1223
71,2007,2,1,1243
72,2008,2,1,1240
73,2009,2,1,1268
74,2010,2,1,1295
75,2011,2,1,1410
76,2012,2,1,1477
77,2013,2,1,1455
78,2014,2,1,1460
79,2015,2,1,1462
80,2016,2,1,1475
81,2017,2,1,1495
82,2018,2,1,1647
83,2019,2,1,1580
84,2020,2,1,1621
85,2000,1,2,669
86,2001,1,2,746
87,2002,1,2,719
88,2003,1,2,727
89,2004,1,2,813
90,2005,1,2,858
91,2006,1,2,755
92,2007,1,2,764
93,2008,1,2,878
94,2009,1,2,857
95,2010,1,2,835
96,2011,1,2,951
97,2012,1,2,881
98,2013,1,2,901
99,2014,1,2,837
100,2015,1,2,908
101,2016,1,2,1014
102,2017,1,2,919
103,2018,1,2,1015
104,2019,1,2,1103
105,2020,1,2,1095
106,2000,2,2,765
107,2001,2,2,785
108,2002,2,2,804
109,2003,2,2,769
110,2004,2,2,850
111,2005,2,2,809
112,2006,2,2,878
113,2007,2,2,905
114,2008,2,2,903
115,2009,2,2,930
116,2010,2,2,979
117,2011,2,2,896
118,2012,2,2,985
119,2013,2,2,1019
120,2014,2,2,1049
121,2015,2,2,1135
122,2016,2,2,1078
123,2017,2,2,1134
124,2018,2,2,1114
125,2019,2,2,1223
126,2020,2,2,1163
127,2000,1,3,1100
128,2001,1,3,1081
129,2002,1,3,1159
130,2003,1,3,1280
131,2004,1,3,1228
132,2005,1,3,1094
133,2006,1,3,1300
134,2007,1,3,1363
135,2008,1,3,1260
136,2009,1,3,1411
137,2010,1,3,1415
138,2011,1,3,1543
139,2012,1,3,1527
140,2013,1,3,1549
141,2014,1,3,1529
142,2015,1,3,1563
143,2016,1,3,1680
144,2017,1,3,1629
145,2018,1,3,1727
146,2019,1,3,1892
147,2020,1,3,1910
148,2000,2,3,1328
149,2001,2,3,1369
150,2002,2,3,1472
151,2003,2,3,1437
152,2004,2,3,1547
153,2005,2,3,1540
154,2006,2,3,1492
155,2007,2,3,1596
156,2008,2,3,1641
157,2009,2,3,1788
158,2010,2,3,1729
159,2011,2,3,1595
160,2012,2,3,1740
161,2013,2,3,1769
162,2014,2,3,1763
163,2015,2,3,1817
164,2016,2,3,1756
165,2017,2,3,1897
166,2018,2,3,1920
167,2019,2,3,2019
168,2020,2,3,2091